"gene","module"
"GNA11","blue"
"SYNCRIP","yellow"
"KAT2B","turquoise"
"PPM1A","brown"
"CCS","turquoise"
"CKLF","brown"
"DGKA","blue"
"TIFA","brown"
"B3GALT6","blue"
"HOOK2","grey"
"FAM195A","blue"
"C2orf18","grey"
"DIRAS1","turquoise"
"C1orf59","brown"
"HDAC7","black"
"RUFY1","grey"
"PARP16","blue"
"MYL4","turquoise"
"USE1","blue"
"CCDC22","grey"
"PPARG","grey"
"NEURL4","grey"
"KCNE3","black"
"NIPA1","blue"
"FGF13","red"
"C22orf29","blue"
"REXO1","turquoise"
"ZNF408","turquoise"
"ZYG11B","brown"
"UBR1","brown"
"CSDC2","turquoise"
"SUMF1","brown"
"INPPL1","black"
"LRRC14","turquoise"
"ZNF559","yellow"
"ITPKB","blue"
"ZNF605","yellow"
"BCL6","black"
"ADCY7","yellow"
"INPP1","brown"
"OGDH","turquoise"
"STAT3","black"
"IVNS1ABP","brown"
"FBXO3","brown"
"SELPLG","black"
"TOR1A","red"
"METTL9","red"
"PPIF","grey"
"DNAJC19","yellow"
"RNF8","blue"
"POLL","turquoise"
"KLHL22","blue"
"KIAA1324","green"
"CDK2","grey"
"EDF1","turquoise"
"ACTL6A","yellow"
"SFRS16","green"
"DYNC1LI1","brown"
"ASF1A","yellow"
"RHOC","blue"
"AACS","blue"
"NUPL1","brown"
"TIMM9","blue"
"RAB8B","brown"
"BIN3","black"
"C16orf53","black"
"ING4","grey"
"EIF1AY","grey"
"RABEPK","green"
"FAM128B","grey"
"FAM128A","blue"
"C9orf16","red"
"INTS10","yellow"
"FUNDC2","turquoise"
"ASL","red"
"JAG1","brown"
"CENPW","grey"
"S100PBP","yellow"
"YEATS4","yellow"
"APIP","yellow"
"RIN2","yellow"
"HIRA","yellow"
"RAD17","yellow"
"SMNDC1","brown"
"RHOD","turquoise"
"N4BP1","black"
"CD248","turquoise"
"PHF6","yellow"
"NFIA","turquoise"
"INSR","black"
"ABHD3","brown"
"ARHGEF3","yellow"
"PNPLA4","blue"
"SLC25A24","brown"
"IFT27","yellow"
"EIF2C1","green"
"PLAC8","red"
"PDE7A","yellow"
"MINK1","turquoise"
"ABTB2","turquoise"
"CABIN1","blue"
"EHD4","blue"
"BOLA1","blue"
"FAM100A","turquoise"
"HMBS","turquoise"
"PLXNA3","turquoise"
"AGL","brown"
"USP20","blue"
"SOS1","yellow"
"SEMA4C","turquoise"
"MTM1","brown"
"QSER1","blue"
"SEMA3F","turquoise"
"NELL2","blue"
"ACP2","grey"
"PGAM1","red"
"HSPA8","blue"
"EIF1","grey"
"ACAA1","black"
"HCP5","blue"
"TCAP","turquoise"
"POLR2G","blue"
"SRM","blue"
"DLST","blue"
"DAGLB","grey"
"SNRPB","blue"
"C9orf7","turquoise"
"YARS2","blue"
"TIMM17B","grey"
"DDX54","blue"
"RGS16","grey"
"SNRPA1","blue"
"CA12","turquoise"
"PFDN4","grey"
"DCUN1D4","yellow"
"PDCD5","yellow"
"RPL30","blue"
"CWC22","brown"
"IKBKE","grey"
"SAT2","blue"
"ABCF1","blue"
"NBAS","blue"
"ATF6B","grey"
"DCK","grey"
"GPSM2","brown"
"GART","blue"
"TOP2A","grey"
"ASB8","black"
"WIPF2","green"
"ALKBH3","blue"
"PTK2B","black"
"PSMC6","brown"
"YRDC","yellow"
"SEC22A","yellow"
"SLC7A7","green"
"MED8","brown"
"CCL3","grey"
"BIN2","black"
"HEXIM1","grey"
"TMCO3","brown"
"MED1","yellow"
"GDPD5","turquoise"
"WTAP","brown"
"LOC646517","brown"
"USP5","turquoise"
"FBRSL1","blue"
"MTMR3","black"
"IL11RA","blue"
"TRAPPC6A","blue"
"OCEL1","blue"
"GAK","green"
"MLYCD","blue"
"PIP5K1B","turquoise"
"FAM107A","grey"
"PPP1R3B","black"
"SUFU","turquoise"
"SOLH","blue"
"C4orf41","brown"
"NSMCE2","brown"
"ERI1","brown"
"UNC50","brown"
"SERINC2","grey"
"TUBGCP6","blue"
"C5orf51","yellow"
"KLHDC5","blue"
"PRKX","blue"
"ANO10","red"
"ZNF189","brown"
"PPAPDC1B","blue"
"IQGAP2","brown"
"ARFGEF2","yellow"
"ELP4","blue"
"ADCY9","turquoise"
"MGRN1","green"
"DGKD","green"
"SF3A1","green"
"MTCH2","yellow"
"ESD","blue"
"SFRS18","yellow"
"TRIM37","yellow"
"YLPM1","blue"
"THBS1","red"
"SLC39A7","grey"
"TMX1","brown"
"C3AR1","grey"
"SGSH","red"
"RAB3GAP1","brown"
"TRABD","red"
"ZNF627","yellow"
"ACOT13","grey"
"ACP6","red"
"RPL41","turquoise"
"DERA","brown"
"SPCS3","brown"
"ANKHD1-EIF4EBP3","green"
"ANKHD1","green"
"NUDT5","grey"
"SPNS1","turquoise"
"SPPL2A","brown"
"DNAJC2","yellow"
"HCFC1","blue"
"C16orf61","yellow"
"LSM6","brown"
"UCKL1","blue"
"TCEA3","blue"
"MKI67","grey"
"SYNGR1","grey"
"LYSMD2","yellow"
"RAB40C","green"
"STK3","brown"
"USP38","brown"
"NTHL1","blue"
"DRAM2","brown"
"TARBP2","turquoise"
"CTDSPL","turquoise"
"KHNYN","grey"
"APOM","turquoise"
"PYCARD","green"
"TRIM32","blue"
"VPS8","black"
"WIBG","grey"
"FAM175B","brown"
"TSPAN33","turquoise"
"MEGF8","turquoise"
"RABGGTA","blue"
"TTC9C","red"
"RRP1B","blue"
"C6orf192","turquoise"
"TMEM119","grey"
"IFT122","turquoise"
"RNASE6","green"
"SCARF2","turquoise"
"ANK3","blue"
"FAM160B1","brown"
"IFFO2","blue"
"EXO1","turquoise"
"SCRIB","blue"
"TMEM106B","yellow"
"MSRB3","red"
"ZNF318","brown"
"ACOX2","grey"
"LEMD3","brown"
"BEND7","grey"
"C14orf138","brown"
"ZNF75D","yellow"
"LHFPL2","grey"
"ATP5L","yellow"
"ZNF787","black"
"OLIG1","grey"
"FDFT1","turquoise"
"LAP3","yellow"
"BGN","turquoise"
"MRGPRF","turquoise"
"GNG2","brown"
"LOC150776","blue"
"MFAP1","brown"
"MYLPF","turquoise"
"ARMCX3","brown"
"WDR47","brown"
"MRPL50","yellow"
"PET112L","blue"
"TMPRSS4","turquoise"
"LRRC59","blue"
"NR2C1","blue"
"TADA1","yellow"
"SUV39H1","grey"
"CELA3A","turquoise"
"POLR2H","blue"
"CDS2","black"
"TBPL1","grey"
"PREP","blue"
"WWOX","blue"
"GIT2","green"
"STAM","brown"
"NDUFB1","red"
"C6orf115","yellow"
"ROMO1","red"
"RAB4A","brown"
"CLEC2B","brown"
"RAMP1","grey"
"ATOX1","red"
"ESYT2","yellow"
"FBXL5","brown"
"LYRM4","blue"
"UNC93B1","grey"
"TBC1D10B","black"
"GCAT","turquoise"
"C3orf14","grey"
"RNGTT","brown"
"BRE","black"
"PLOD2","grey"
"WDR26","grey"
"NCOA1","green"
"PLEK2","turquoise"
"MPEG1","green"
"SSH3","black"
"USP18","grey"
"ANAPC11","blue"
"GALNT3","brown"
"YPEL3","turquoise"
"FAM172A","brown"
"MAP4K3","yellow"
"IREB2","brown"
"TRIM47","turquoise"
"WDR83","grey"
"CRLF1","turquoise"
"TRAPPC9","turquoise"
"TCF7L1","turquoise"
"BCL2","blue"
"GNPTAB","blue"
"ATG2B","brown"
"CUL7","turquoise"
"LACTB","brown"
"P2RX5","blue"
"TBKBP1","black"
"LOXL3","turquoise"
"NINJ2","turquoise"
"DTNBP1","red"
"MUM1","blue"
"ELOF1","turquoise"
"NCOA3","green"
"FLYWCH1","turquoise"
"PAOX","blue"
"STK16","red"
"MBTD1","brown"
"TMEM62","grey"
"SUV420H1","brown"
"SH3RF3","black"
"RAP1GAP2","green"
"AMZ2","yellow"
"FZD5","turquoise"
"MAP1S","black"
"CRBN","brown"
"DEFA1","grey"
"TOR1AIP1","brown"
"C1orf63","brown"
"RNASEH2C","blue"
"SNX4","brown"
"ETF1","brown"
"ACTR6","yellow"
"MRPL44","brown"
"SERPINA1","black"
"MAN1B1","blue"
"TAPBPL","green"
"COPS5","brown"
"OSBPL2","black"
"COX7A2","grey"
"CD276","turquoise"
"EIF3A","yellow"
"HCCS","yellow"
"KIAA0406","blue"
"GOLPH3L","blue"
"CCDC85B","grey"
"TP53RK","yellow"
"DLC1","red"
"FBP1","green"
"SULF2","green"
"WDR33","blue"
"TPST2","red"
"CTSA","grey"
"SWAP70","yellow"
"A4GALT","turquoise"
"DVL3","black"
"NUS1","brown"
"C18orf55","blue"
"NDEL1","black"
"NIT2","blue"
"TM9SF1","green"
"SUDS3","brown"
"ZDHHC17","brown"
"APEX2","turquoise"
"ZNF706","yellow"
"C13orf23","brown"
"ZDHHC2","grey"
"AQP5","turquoise"
"EIF4G3","red"
"TAF2","yellow"
"SURF1","blue"
"COL4A3BP","brown"
"MAPK13","grey"
"GMEB1","blue"
"March 9","blue"
"CSRNP1","black"
"TMEM186","blue"
"ZEB1","green"
"POLR3C","blue"
"SRCAP","grey"
"GABBR1","red"
"GLT25D1","red"
"ROM1","red"
"FBXO41","blue"
"ZNF638","brown"
"AHCYL2","blue"
"FAM189B","blue"
"OSTC","yellow"
"KBTBD11","grey"
"ANG","grey"
"FAM173B","grey"
"ACVRL1","turquoise"
"ELF4","green"
"C1orf131","yellow"
"TNF","grey"
"WTIP","turquoise"
"CAMKK1","black"
"LRMP","green"
"TMCC1","green"
"TRAF1","blue"
"SLC17A9","turquoise"
"CDYL","yellow"
"BRPF3","grey"
"ZNF238","brown"
"ZFYVE26","grey"
"RAPGEF2","green"
"PABPC1L","green"
"IPO11","red"
"C1orf38","black"
"FOXJ1","turquoise"
"WSB1","red"
"GLUL","turquoise"
"Septin 6","blue"
"MAFB","brown"
"TMEM97","grey"
"DERL1","yellow"
"CES1","grey"
"ABHD8","grey"
"ARL1","yellow"
"GPATCH4","blue"
"PI3","grey"
"AGPAT4","grey"
"CISD2","turquoise"
"LMO4","green"
"TBXAS1","black"
"TP53I13","blue"
"PLA2G16","turquoise"
"CDT1","grey"
"KLHDC4","blue"
"RPS6KA4","blue"
"NXT1","blue"
"GLRX5","turquoise"
"C12orf10","turquoise"
"RBM17","yellow"
"TM2D1","brown"
"RBMX2","blue"
"MRPS9","blue"
"ZW10","yellow"
"CYB561","blue"
"DUSP2","blue"
"MRPL18","yellow"
"PMS1","yellow"
"MAP1LC3A","turquoise"
"CMTM7","green"
"TNRC18","green"
"CRIP1","blue"
"COL7A1","turquoise"
"GPAM","blue"
"UBN1","green"
"EID2","yellow"
"ATRX","green"
"NAAA","blue"
"GLB1L2","turquoise"
"PSKH1","grey"
"IFT88","grey"
"TAF6","blue"
"ARHGAP30","black"
"TMX3","brown"
"GCH1","brown"
"DHTKD1","black"
"LATS2","brown"
"TMEM150A","turquoise"
"ANKRD12","brown"
"INF2","turquoise"
"ALG13","yellow"
"TSEN54","blue"
"PIK3R5","green"
"ADRBK2","blue"
"ATAD3A","turquoise"
"ATAD3B","turquoise"
"GNE","brown"
"INO80D","brown"
"ASPH","brown"
"SSH2","black"
"ACBD5","brown"
"LLGL2","blue"
"ITGAE","yellow"
"SLC9A8","black"
"C1orf226","grey"
"ALDH9A1","green"
"SUMO3","yellow"
"NAA50","brown"
"ARL8B","brown"
"BUB3","yellow"
"KLF2","green"
"KIAA0174","brown"
"PIM2","blue"
"SF3A2","turquoise"
"VWA1","turquoise"
"FAIM3","blue"
"SH3BP5L","turquoise"
"SRPK2","green"
"ARPC5L","red"
"C9orf78","turquoise"
"CHURC1","brown"
"GET4","red"
"TMEM14B","yellow"
"MYLK","grey"
"GLIPR1","green"
"ATL3","brown"
"REEP2","turquoise"
"CHCHD6","turquoise"
"NCAPH","turquoise"
"PIGK","brown"
"STX12","brown"
"SLC37A3","black"
"ZNF689","blue"
"GNPDA2","yellow"
"POP5","blue"
"HIF1AN","black"
"FAM110A","green"
"IFIT2","grey"
"SLC7A11","grey"
"MT1F","grey"
"ARID4B","brown"
"TUBGCP3","brown"
"CDC42","red"
"CRYM","turquoise"
"HSBP1L1","grey"
"LPHN1","turquoise"
"ANAPC1","blue"
"DHX58","grey"
"C12orf24","blue"
"FCN1","green"
"NMRAL1","blue"
"SERPINI1","grey"
"JOSD2","turquoise"
"PSMA4","brown"
"SGPP1","yellow"
"CRAMP1L","yellow"
"MDM4","green"
"ANKRD37","brown"
"BCL7C","blue"
"ATP13A2","turquoise"
"PRKCB","green"
"TMC8","blue"
"TMCC2","turquoise"
"DNAJC27","brown"
"CHN2","turquoise"
"RNF169","green"
"ADORA2A","red"
"ZFAT","turquoise"
"RABL2B","blue"
"MRVI1","black"
"RAB3GAP2","brown"
"RNF41","red"
"RFX7","yellow"
"YPEL2","grey"
"SNX30","yellow"
"RC3H2","green"
"C3orf23","brown"
"BDP1","yellow"
"SUOX","red"
"TPSAB1","turquoise"
"SLC36A1","red"
"PID1","blue"
"C7orf29","brown"
"FAM131A","grey"
"SLC6A6","black"
"UBE2L6","grey"
"PARP14","grey"
"HNRNPU","yellow"
"CYCS","yellow"
"NASP","yellow"
"PRKAR1A","brown"
"CLIC1","red"
"AZI2","brown"
"GIMAP4","blue"
"CWC15","yellow"
"OLR1","grey"
"TCP1","yellow"
"CDK5R1","brown"
"ABCF2","blue"
"TBL3","blue"
"UBE2G1","brown"
"UBE3C","yellow"
"RNF11","turquoise"
"SLC12A4","turquoise"
"SND1","turquoise"
"FES","black"
"EIF2B3","blue"
"TEX2","grey"
"PDSS2","grey"
"THBS3","grey"
"LOC731602","blue"
"C2orf43","yellow"
"DUSP6","yellow"
"NQO2","red"
"PLSCR3","blue"
"SNRNP40","blue"
"ATL2","brown"
"ZG16","turquoise"
"PPP1R1A","turquoise"
"REEP3","brown"
"CTNND1","grey"
"SKA1","grey"
"CHPT1","turquoise"
"MESDC1","grey"
"DONSON","yellow"
"RUFY3","blue"
"INTS5","turquoise"
"Septin 1","blue"
"NR1D2","blue"
"EML3","green"
"EFNA4","blue"
"PRR5","turquoise"
"KIF21B","grey"
"EIF4ENIF1","yellow"
"ZNF131","yellow"
"RICTOR","brown"
"PIGF","brown"
"PCNX","black"
"HLX","black"
"ZNF232","blue"
"RPS6KC1","brown"
"KNTC1","yellow"
"CYP27B1","turquoise"
"C3orf19","green"
"FAM102B","brown"
"ECHDC2","blue"
"PLCB2","turquoise"
"MGAT3","turquoise"
"TNFRSF25","blue"
"GUCY1A3","grey"
"RELB","green"
"PITPNM1","green"
"TRANK1","grey"
"USP37","blue"
"YTHDC2","brown"
"EIF2AK3","yellow"
"SGMS2","brown"
"PRKRA","blue"
"GRB10","red"
"TAF4","yellow"
"CTNNB1","brown"
"CSE1L","blue"
"CORO7","green"
"TOLLIP","grey"
"SF3B3","turquoise"
"MAN2C1","blue"
"DR1","brown"
"ATP6V1C1","red"
"C14orf147","brown"
"MTDH","yellow"
"TTC37","blue"
"UBE2M","turquoise"
"C12orf75","grey"
"NDUFS8","blue"
"NMT1","red"
"EIF6","blue"
"FBXO22","yellow"
"CDC42EP1","turquoise"
"MMADHC","red"
"PTGS1","grey"
"PQLC1","turquoise"
"NPM3","blue"
"QTRT1","turquoise"
"POLE4","grey"
"GPR108","black"
"WBP4","brown"
"TMEM160","blue"
"ADAM8","black"
"ACN9","red"
"DNAJC30","blue"
"PPA2","red"
"PDP1","yellow"
"PIAS4","grey"
"FBXO2","turquoise"
"CNO","yellow"
"DPM3","blue"
"HIPK1","grey"
"PTDSS2","turquoise"
"RASSF1","blue"
"C10orf11","grey"
"MBD6","black"
"NEK2","grey"
"C11orf83","blue"
"SCRN2","blue"
"FAM174A","yellow"
"EDEM1","brown"
"MRPS10","yellow"
"EXOC2","yellow"
"NFRKB","yellow"
"SASH3","green"
"KIAA1826","yellow"
"ZBED4","blue"
"SMUG1","turquoise"
"PHC3","brown"
"NAA35","yellow"
"SLC30A7","brown"
"ZBTB43","yellow"
"NAPSA","turquoise"
"PCF11","brown"
"LRFN4","turquoise"
"RAB7L1","brown"
"ETS1","blue"
"LRRFIP1","brown"
"TMC4","grey"
"COQ2","brown"
"RAPGEF6","yellow"
"SNX13","brown"
"EFNB3","turquoise"
"HHEX","brown"
"ZNF84","blue"
"ZBTB34","brown"
"PGBD5","turquoise"
"INO80","blue"
"FNDC5","turquoise"
"PEX7","yellow"
"DIAPH2","red"
"PRR12","turquoise"
"ZNF558","yellow"
"GNB5","grey"
"CELSR3","turquoise"
"ACSS2","red"
"REPS2","black"
"LIME1","blue"
"SFRS2B","grey"
"ACTA2","grey"
"SEC23A","brown"
"DAB2","grey"
"ACADM","yellow"
"SAFB","green"
"LMBR1L","grey"
"COX6A2","turquoise"
"SLC4A1AP","brown"
"HIRIP3","blue"
"DLGAP5","grey"
"TRIM22","brown"
"GGA2","blue"
"PNPO","blue"
"GNG11","grey"
"NUDT3","brown"
"TXNL4B","red"
"MDM1","brown"
"UBTF","blue"
"MIDN","black"
"MTF1","red"
"TMEM126B","brown"
"P4HTM","blue"
"RWDD4A","brown"
"DAPK3","turquoise"
"PLEKHO1","blue"
"MTHFS","red"
"PFKFB4","black"
"GALNT7","brown"
"SLC7A1","turquoise"
"HBS1L","grey"
"UTP3","yellow"
"PPP3CC","blue"
"TMEM168","brown"
"C2orf79","grey"
"NEDD4L","turquoise"
"FGL2","green"
"PEX16","grey"
"MAD2L2","red"
"GOSR2","red"
"FLYWCH2","turquoise"
"SEMA4F","turquoise"
"CCDC43","yellow"
"C17orf81","blue"
"TRAPPC5","turquoise"
"SIRT3","turquoise"
"TYMP","black"
"POLR2D","blue"
"QKI","brown"
"L3MBTL2","blue"
"TMEM206","yellow"
"TNKS2","brown"
"C17orf80","yellow"
"CACNG4","turquoise"
"ACSL6","turquoise"
"DGKQ","blue"
"ARID3B","black"
"CMC1","yellow"
"CUL5","yellow"
"FGR","red"
"MFF","red"
"FAM57B","turquoise"
"C8orf82","blue"
"UTP14C","yellow"
"ALG11","yellow"
"HS1BP3","green"
"SEZ6L2","turquoise"
"HIP1R","blue"
"CYYR1","red"
"LPPR2","black"
"CRTC3","blue"
"SP110","green"
"EMID1","turquoise"
"C9orf103","red"
"SMC5","yellow"
"HKDC1","turquoise"
"SUSD1","red"
"TMCO4","blue"
"CCNYL1","brown"
"TMCO6","turquoise"
"CLDN15","grey"
"LCLAT1","yellow"
"HIVEP2","brown"
"DHRS11","turquoise"
"HIVEP1","brown"
"ARHGEF11","black"
"ITSN1","turquoise"
"NUP88","blue"
"HADH","blue"
"MPP1","turquoise"
"CDK4","blue"
"CYP51A1","red"
"GOLPH3","brown"
"NT5C2","black"
"VEZT","yellow"
"CCNA2","yellow"
"ERAP2","yellow"
"AP1G1","black"
"LEPRE1","blue"
"CHMP4A","blue"
"PRKRIP1","blue"
"IGFBP2","grey"
"CAST","red"
"G3BP1","yellow"
"EXOSC3","brown"
"BCAP29","brown"
"AKAP13","green"
"ACAT2","yellow"
"PLEKHF1","blue"
"CDC37L1","yellow"
"MT3","turquoise"
"CDC42SE1","black"
"TBC1D25","turquoise"
"KAT5","black"
"GPR109A","green"
"UBLCP1","brown"
"TMEM8A","black"
"FASTKD1","yellow"
"KIAA1033","brown"
"NGDN","yellow"
"NARG2","yellow"
"IL2RB","blue"
"ANKRD28","brown"
"SSBP3","turquoise"
"DGAT2","black"
"BRPF1","blue"
"ZNHIT6","blue"
"RUNDC1","brown"
"OBFC1","red"
"STK17A","brown"
"SMN2","yellow"
"HPSE","grey"
"AKAP11","yellow"
"HIF3A","turquoise"
"KIAA1967","blue"
"STEAP3","grey"
"PARP8","green"
"HCST","blue"
"RBP7","green"
"MECP2","green"
"AVEN","blue"
"GIYD1","grey"
"ZMYM4","yellow"
"SFI1","blue"
"STUB1","blue"
"KIAA1109","brown"
"B3GNT5","brown"
"FAM190B","yellow"
"PPOX","turquoise"
"XPA","yellow"
"STK35","green"
"BAIAP2","turquoise"
"CENPV","turquoise"
"UNC13D","black"
"CSF2RB","brown"
"ZNF286A","blue"
"C17orf95","yellow"
"APPL1","yellow"
"CEP250","blue"
"DDC","turquoise"
"LOC729991","red"
"HOOK3","brown"
"AKAP8","yellow"
"C14orf43","blue"
"RAB43","black"
"SHPRH","yellow"
"TMEM37","turquoise"
"GATA2","blue"
"WDR62","turquoise"
"MBNL2","yellow"
"MMP24","turquoise"
"DIDO1","yellow"
"SLC6A19","turquoise"
"FGFBP2","blue"
"GRWD1","turquoise"
"TIMP2","black"
"PKM2","red"
"ENG","turquoise"
"RAB5A","brown"
"ZNHIT3","yellow"
"GDE1","turquoise"
"MAPK6","brown"
"C12orf23","yellow"
"SS18","yellow"
"PTBP2","brown"
"RAB35","black"
"WDR54","blue"
"SP1","black"
"RAB7A","black"
"PABPC4","blue"
"RANBP2","brown"
"ZNF3","blue"
"GGH","grey"
"COCH","grey"
"NCAPG","grey"
"SDAD1","blue"
"PEX12","yellow"
"CCNY","green"
"KPTN","grey"
"FUBP1","yellow"
"LYAR","blue"
"TFB2M","yellow"
"UBE2R2","black"
"PPP3CA","brown"
"BIRC3","blue"
"HABP4","blue"
"ZNF395","blue"
"NETO2","grey"
"RAD1","blue"
"RFC4","yellow"
"MSL3","red"
"LRBA","turquoise"
"NDUFAF1","red"
"TBC1D17","turquoise"
"PPP2R2B","blue"
"PHF19","blue"
"C5orf41","green"
"EMB","brown"
"PIK3C2A","yellow"
"REV1","yellow"
"RARA","black"
"CCDC76","blue"
"TBC1D9","yellow"
"MIA3","yellow"
"GATS","grey"
"CYP2R1","yellow"
"USP13","blue"
"FAM122B","yellow"
"MMRN1","grey"
"CCDC137","blue"
"KIAA0415","grey"
"CHML","yellow"
"C3orf59","grey"
"ATXN1","brown"
"PALB2","blue"
"GLT1D1","black"
"CDRT4","blue"
"SLC27A1","turquoise"
"BIK","red"
"SMURF1","brown"
"CYB561D1","turquoise"
"LINS1","yellow"
"AMMECR1","blue"
"PLEKHA1","blue"
"ZDHHC8","turquoise"
"CREB5","black"
"FOXK1","yellow"
"TAZ","red"
"F8","red"
"LYST","green"
"UBOX5","turquoise"
"BTAF1","yellow"
"PLIN3","black"
"NOL11","blue"
"ALDH6A1","blue"
"RANBP1","blue"
"F2","turquoise"
"CCPG1","brown"
"KIF20A","grey"
"CAPZA2","brown"
"EXT2","blue"
"LCMT2","blue"
"RIPK3","red"
"BCKDHB","blue"
"CREB3","blue"
"FAM26F","grey"
"ITLN1","turquoise"
"CRISPLD2","green"
"PLP2","red"
"NOV","blue"
"GTF2A2","red"
"TRMT12","yellow"
"STX8","yellow"
"SFRS3","yellow"
"UBE2D1","brown"
"SMAD1","red"
"FRG1","yellow"
"C7orf30","red"
"CX3CR1","blue"
"HSPA6","green"
"KIAA0467","green"
"MRPL33","brown"
"TAP2","yellow"
"RILPL2","brown"
"NDUFS7","blue"
"GCHFR","blue"
"TMEM18","blue"
"ENDOG","blue"
"NAIF1","grey"
"FAM21A","blue"
"NDUFV3","grey"
"BCL9L","blue"
"CXorf26","yellow"
"C2orf47","brown"
"DVL1","blue"
"HEMK1","blue"
"SCN1B","turquoise"
"GAS2L1","turquoise"
"CXorf40A","yellow"
"FNIP2","blue"
"CYLD","yellow"
"GNB4","brown"
"CMPK2","grey"
"NCF4","black"
"C18orf22","blue"
"GPBP1","brown"
"PLEKHB2","brown"
"EMILIN2","red"
"CCDC84","blue"
"CENPC1","yellow"
"MTX3","yellow"
"RFFL","green"
"PCNT","blue"
"DSTYK","green"
"TRPM7","yellow"
"SH3PXD2B","red"
"MORC3","brown"
"HERC6","grey"
"ARHGEF7","blue"
"WDR70","grey"
"CTXN1","turquoise"
"ZBTB11","yellow"
"CARD11","blue"
"GON4L","turquoise"
"LSP1","black"
"TMEM229B","blue"
"ZNF776","brown"
"SPI1","black"
"FOXN2","brown"
"SLC15A4","brown"
"ITSN2","brown"
"CNOT6L","yellow"
"FGD6","blue"
"ADAM19","black"
"UHRF1","grey"
"LTF","red"
"HLA-DRB1","blue"
"HLA-E","green"
"HNRNPA3","yellow"
"MTMR6","brown"
"NOL7","red"
"PGD","red"
"TCL1A","blue"
"MBTPS2","yellow"
"KBTBD6","brown"
"PICK1","turquoise"
"MEF2C","blue"
"SFXN3","blue"
"GPN1","yellow"
"EXOC6","brown"
"C6orf211","brown"
"PHF23","black"
"RNF138","brown"
"LEO1","blue"
"IFI44L","grey"
"POC5","yellow"
"GNG7","blue"
"RBM34","yellow"
"CDK6","blue"
"LRRC40","yellow"
"EML2","red"
"RPS15A","grey"
"SCNM1","red"
"HAT1","brown"
"PKMYT1","turquoise"
"ZNF24","brown"
"AMN1","brown"
"CD3D","blue"
"C6orf64","yellow"
"KPNA6","grey"
"FEM1C","brown"
"CREBZF","yellow"
"CEACAM1","red"
"FIS1","turquoise"
"TYROBP","black"
"NDUFA1","red"
"ORAI1","black"
"GPX7","yellow"
"SP3","brown"
"PIGB","brown"
"AKAP2","blue"
"RPS6KB1","yellow"
"PDZK1IP1","turquoise"
"TRAPPC1","red"
"PYGO2","blue"
"RBM16","yellow"
"TNFRSF10D","red"
"C6orf136","blue"
"PXMP2","yellow"
"CAPN3","red"
"DUSP16","red"
"KIAA1467","turquoise"
"FBXO30","brown"
"DDX11","turquoise"
"TDP1","blue"
"HOXC10","turquoise"
"KCNQ1","green"
"PTRH1","blue"
"GSN","red"
"DNAJB12","green"
"GMIP","black"
"PDGFC","red"
"CTSG","grey"
"OXR1","brown"
"TRIM35","blue"
"TMUB2","black"
"LYL1","turquoise"
"MTERFD1","yellow"
"GAPVD1","grey"
"CHD7","black"
"SFRS2IP","brown"
"MAP4K2","grey"
"MED12","black"
"COPS7A","black"
"ARHGEF6","yellow"
"SHANK3","turquoise"
"DOCK11","brown"
"GLI3","turquoise"
"GCOM1","yellow"
"CEP110","yellow"
"KIAA0284","turquoise"
"PCSK6","grey"
"PTAR1","brown"
"CORO2A","red"
"ALPK3","turquoise"
"NEIL2","turquoise"
"B9D2","black"
"NGFR","turquoise"
"STK4","green"
"MKKS","brown"
"PLP1","turquoise"
"PA2G4","turquoise"
"CNN2","black"
"HSP90AB1","blue"
"COL9A3","grey"
"BTF3L4","brown"
"IFNAR1","black"
"ETFB","grey"
"RPL13","blue"
"TPP2","yellow"
"ZFP91","green"
"LOC100289420","blue"
"TBC1D22A","green"
"TTK","grey"
"AK3","yellow"
"EPHA4","blue"
"TMEM132A","turquoise"
"FTO","blue"
"RIOK2","yellow"
"PI16","turquoise"
"MON1A","grey"
"C7orf64","yellow"
"PHKB","brown"
"C14orf80","turquoise"
"CELF2","green"
"MRPS11","blue"
"NDUFA3","turquoise"
"LPGAT1","black"
"CHM","brown"
"LYPLAL1","brown"
"TRMT61B","yellow"
"SLC17A5","brown"
"CDC123","red"
"NFKBIL1","red"
"SAAL1","blue"
"TIA1","brown"
"PDCL3","blue"
"GTSF1","blue"
"WDR20","brown"
"GNAZ","grey"
"GCLM","red"
"RNF166","green"
"C21orf57","turquoise"
"PCSK9","turquoise"
"ZBTB45","grey"
"PDPR","blue"
"ZNF609","blue"
"PLEKHH3","turquoise"
"CDC14B","grey"
"ZNF385A","turquoise"
"TBC1D8","red"
"HOXB9","turquoise"
"LENG8","green"
"GOSR1","yellow"
"HMHA1","green"
"C16orf88","blue"
"TMEM80","grey"
"ABHD14A","blue"
"PLD1","red"
"PEX1","yellow"
"UPF3B","yellow"
"SH2D3A","blue"
"F5","black"
"DCAF16","blue"
"MORF4L2","yellow"
"C11orf75","grey"
"VWA5A","red"
"NR2C2","brown"
"CAPN7","yellow"
"OTUD3","blue"
"LOC221710","yellow"
"SMPDL3A","red"
"RC3H1","green"
"TTC13","brown"
"LRRC8C","yellow"
"TNK2","green"
"MAP2K7","turquoise"
"ATG2A","grey"
"INPP5J","turquoise"
"FAM113B","blue"
"AGFG1","red"
"PLTP","turquoise"
